Date,Branch,Product,Quantity,UnitPrice,Total
2024-10-31,East,Roasted Rice,7,432.53,3027.71
2025-08-17,West,Fresh Dried Mango,3,192.81,578.43
2025-01-21,South,Extra Virgin Vanilla Extract,7,303.03,2121.21
2025-01-24,Central,Light Beef Jerky,9,173.37,1560.33
2025-05-07,South,Imported Wheat Flour,2,182.77,365.54
2024-11-22,East,Organic Ice Cream,4,457.77,1831.08
2025-10-02,East,Flavored Pasta,2,82.3,164.6
2025-09-09,South,Premium Milk,4,136.01,544.04
2025-05-01,North,Extra Virgin Tofu,7,321.32,2249.24
2024-12-29,South,Healthy Almonds,6,53.63,321.78
2025-07-15,North,Imported Crackers,2,320.21,640.42
2025-03-07,Central,Local Rice,6,137.31,823.86
2025-06-10,West,Natural Granola,3,230.66,691.98
2025-04-11,North,Healthy Milk,4,437.35,1749.4
2025-02-25,South,Imported Dates,10,476.28,4762.8
2025-04-12,Central,Classic Crisps,1,160.2,160.2
2025-03-21,Central,Roasted Cereal Bar,1,353.26,353.26
2024-11-24,West,Light Noodles,10,411.67,4116.7
2025-02-04,West,Gluten-Free Water,3,236.37,709.11
2025-09-13,West,Fresh Soda,4,177.58,710.32
2024-12-20,North,Whole Grain Soda,9,307.2,2764.8
2025-04-26,Central,Healthy Rice Cakes,10,92.67,926.7
2024-11-07,Central,Light Ice Cream,6,237.39,1424.34
2025-06-08,North,Premium Pasta,9,94.55,850.95
2025-04-22,Central,Extra Virgin Oats,7,318.36,2228.52
2025-04-29,West,Local Apples,6,110.65,663.9
2024-12-29,Central,Roasted Almonds,8,239.96,1919.68
2025-04-15,South,Whole Grain Tea,1,176.13,176.13
2025-09-20,East,Fresh Corn,2,203.05,406.1
2025-06-02,Central,Flavored Yogurt,5,96.91,484.55
2024-10-08,South,Low-Fat Wheat Flour,9,485.33,4367.97
2025-03-06,East,Extra Virgin Butter,10,432.87,4328.7
2025-09-13,South,Low-Fat Soda,1,319.35,319.35
2025-05-24,Central,Fresh Dates,1,499.57,499.57
2025-05-20,South,Premium Milk,4,290.44,1161.76
2024-12-25,West,Healthy Turmeric,7,248.83,1741.81
2025-10-02,Central,Roasted Canned Beans,7,75.97,531.79
2025-08-11,East,Imported Honey,6,51.19,307.14
2025-06-14,Central,Whole Grain Yogurt,6,359.28,2155.68
2025-07-01,Central,Flavored Cooking Oil,1,292.38,292.38
2025-02-18,North,Local Granola,2,181.39,362.78
2025-06-08,Central,Flavored Granola Bar,3,104.32,312.96
2025-01-18,Central,Extra Virgin Bread,1,385.37,385.37
2025-05-11,North,Light Apples,6,437.86,2627.16
2025-03-31,South,Gluten-Free Canned Tuna,9,246.55,2218.95
2025-10-10,East,Premium Candy,9,275.18,2476.62
2025-06-12,South,Premium Dried Mango,10,96.37,963.7
2025-07-14,North,Imported Cereal,7,115.74,810.18
2025-08-04,East,Extra Virgin Cereal,7,373.51,2614.57
2025-04-01,South,Local Candy,4,397.73,1590.92
2025-01-30,Central,Light Canned Beans,6,92.69,556.14
2025-07-01,West,Flavored Turmeric,1,76.57,76.57
2025-10-07,West,Extra Virgin Coconut Water,1,388.32,388.32
2024-12-26,Central,Light Tofu,1,77.71,77.71
2024-11-27,West,Whole Grain Apples,1,493.6,493.6
2025-03-13,Central,Fresh Oats,9,255.26,2297.34
2025-01-03,Central,Roasted Energy Drink,1,91.01,91.01
2025-04-30,North,Local Pasta,9,476.62,4289.58
2025-05-20,East,Gluten-Free Dried Mango,2,205.5,411.0
2025-10-02,North,Healthy Eggs,8,305.19,2441.52
2025-07-14,Central,Extra Virgin Canned Beans,7,343.79,2406.53
2025-01-15,East,Fresh Cereal Bar,4,475.17,1900.68
2025-08-28,North,Low-Fat Butter,10,111.68,1116.8
2025-08-04,South,Fresh Wheat Flour,7,270.63,1894.41
2025-09-09,South,Natural Raisins,2,163.16,326.32
2025-03-08,East,Natural Cereal,8,85.06,680.48
2025-06-10,East,Classic Granola Bar,6,296.91,1781.46
2024-12-27,Central,Low-Fat Coconut Water,1,355.31,355.31
2025-01-09,Central,Classic Butter,10,294.3,2943.0
2025-07-11,Central,Whole Grain Rice Cakes,4,147.99,591.96
2025-03-08,West,Roasted Candy,10,257.6,2576.0
2025-09-01,North,Roasted Soda,9,57.86,520.74
2025-03-03,Central,Imported Turmeric,3,80.0,240.0
2025-04-15,East,Natural Cumin,9,258.41,2325.69
2025-05-12,East,Light Cereal,8,398.96,3191.68
2025-09-18,Central,Healthy Cereal,8,420.94,3367.52
2025-05-23,North,Fresh Wheat Flour,6,143.25,859.5
2025-01-06,West,Flavored Canned Beans,4,496.99,1987.96
2024-12-17,South,Imported Popcorn,4,332.15,1328.6
2025-02-24,South,Light Cashews,6,415.35,2492.1
2025-04-08,North,Local Cinnamon,3,256.15,768.45
2025-05-21,North,Low-Fat Cooking Oil,5,93.5,467.5
2025-07-04,South,Low-Fat Energy Drink,9,156.22,1405.98
2025-02-22,East,Local Rice,3,113.12,339.36
2025-09-30,Central,Light Cereal Bar,7,251.74,1762.18
2025-01-03,East,Light Corn,1,143.39,143.39
2025-03-14,Central,Organic Beef Jerky,5,139.52,697.6
2025-02-20,East,Classic Corn,5,260.46,1302.3
2025-02-01,East,Gluten-Free Yogurt,8,460.01,3680.08
2025-06-07,South,Light Vanilla Extract,1,421.03,421.03
2025-03-24,North,Fresh Coffee,3,105.9,317.7
2025-01-29,South,Light Tea,7,275.67,1929.69
2025-04-24,West,Imported Granola,7,337.69,2363.83
2024-12-20,West,Whole Grain Butter,6,469.72,2818.32
2025-02-03,East,Whole Grain Energy Drink,1,310.78,310.78
2025-02-12,West,Fresh Honey,10,459.36,4593.6
2025-04-10,South,Local Canned Tuna,4,430.07,1720.28
2025-07-18,South,Extra Virgin Yogurt,6,179.56,1077.36
2024-12-17,East,Flavored Tea,1,183.22,183.22
2025-08-02,East,Local Cinnamon,4,477.27,1909.08
2024-12-16,West,Fresh Almonds,7,84.09,588.63
2024-11-08,North,Natural Pepper,7,246.59,1726.13
2025-06-30,South,Organic Pepper,5,163.67,818.35
2025-09-21,East,Roasted Noodles,6,212.79,1276.74
2025-09-24,East,Organic Pepper,2,198.52,397.04
2025-05-10,West,Premium Yogurt,3,142.59,427.77
2025-01-17,South,Healthy Dates,4,50.07,200.28
2024-12-09,South,Natural Pepper,9,475.09,4275.81
2024-10-09,Central,Low-Fat Water,5,426.49,2132.45
2025-03-22,West,Light Bread,1,141.05,141.05
2025-04-14,North,Local Oats,4,99.33,397.32
2024-10-24,South,Light Granola Bar,8,154.88,1239.04
2025-04-17,North,Fresh Soda,7,71.81,502.67
2025-02-12,East,Natural Eggs,2,286.63,573.26
2024-10-31,Central,Extra Virgin Bread,8,102.68,821.44
2024-11-21,South,Local Honey,10,145.27,1452.7
2025-09-18,Central,Imported Bananas,8,374.08,2992.64
2024-11-12,West,Extra Virgin Almonds,7,74.81,523.67
2025-03-29,North,Fresh Canned Tuna,3,240.86,722.58
2025-02-26,East,Whole Grain Dried Mango,7,222.05,1554.35
2025-04-02,Central,Healthy Cereal Bar,6,315.78,1894.68
2025-01-21,Central,Extra Virgin Dates,2,439.27,878.54
2025-07-19,East,Low-Fat Cooking Oil,5,435.92,2179.6
2025-03-04,Central,Premium Ice Cream,10,77.12,771.2
2024-11-10,East,Fresh Raisins,8,373.42,2987.36
2025-05-25,South,Light Cooking Oil,2,368.5,737.0
2025-09-01,Central,Organic Pepper,7,332.61,2328.27
2025-03-05,North,Local Vanilla Extract,6,331.04,1986.24
2025-07-29,Central,Light Canned Tuna,8,473.7,3789.6
2025-03-14,East,Healthy Cooking Oil,10,88.65,886.5
2024-10-28,Central,Natural Pasta,9,466.57,4199.13
2025-02-12,East,Organic Bananas,3,356.64,1069.92
2025-04-21,West,Healthy Cinnamon,2,373.06,746.12
2025-01-05,East,Extra Virgin Corn,3,363.05,1089.15
2025-06-05,South,Low-Fat Dried Mango,6,281.58,1689.48
2025-03-12,North,Whole Grain Crisps,6,221.76,1330.56
2025-06-06,East,Fresh Jam,8,277.1,2216.8
2024-12-29,West,Gluten-Free Raisins,4,347.64,1390.56
2024-12-08,East,Premium Corn,8,295.64,2365.12
2025-09-22,West,Natural Dates,7,85.78,600.46
2024-10-19,North,Light Frozen Pizza,2,58.29,116.58
2024-10-15,West,Local Lentils,1,446.34,446.34
2025-01-14,Central,Gluten-Free Frozen Pizza,2,123.42,246.84
2025-03-01,East,Fresh Coffee,1,144.55,144.55
2025-09-28,North,Healthy Wheat Flour,4,387.48,1549.92
2025-10-10,East,Light Cheese,3,336.07,1008.21
2025-09-11,North,Extra Virgin Pepper,7,135.0,945.0
2025-05-21,Central,Fresh Oats,7,153.09,1071.63
2025-04-09,West,Natural Rice Cakes,3,383.12,1149.36
2025-05-19,East,Imported Tofu,4,88.67,354.68
2025-03-01,Central,Classic Granola Bar,3,429.59,1288.77
2024-10-16,East,Classic Soda,5,442.93,2214.65
2025-05-16,North,Gluten-Free Pepper,5,399.6,1998.0
2025-05-27,East,Premium Oats,2,458.0,916.0
2024-12-27,East,Roasted Lentils,8,472.71,3781.68
2025-05-28,West,Low-Fat Apples,2,284.78,569.56
2025-08-27,Central,Fresh Almonds,6,81.97,491.82
2025-06-16,West,Premium Crisps,4,104.54,418.16
2025-04-12,Central,Natural Honey,9,301.54,2713.86
2025-02-11,South,Extra Virgin Yogurt,8,119.44,955.52
2025-09-19,North,Light Butter,5,397.77,1988.85
2025-02-01,East,Extra Virgin Cumin,3,313.94,941.82
2025-01-19,South,Organic Pepper,5,482.61,2413.05
2025-05-03,South,Roasted Popcorn,6,351.9,2111.4
2025-01-07,South,Low-Fat Dried Mango,9,75.56,680.04
2025-02-19,East,Premium Cashews,7,245.45,1718.15
2025-10-15,South,Fresh Tofu,10,249.68,2496.8
2024-10-09,East,Classic Coffee,8,194.76,1558.08
2025-06-28,West,Premium Yogurt,3,301.09,903.27
2025-04-24,Central,Healthy Rice Cakes,10,135.69,1356.9
2024-10-07,North,Premium Coffee,4,440.25,1761.0
2025-06-11,Central,Healthy Granola,8,136.0,1088.0
2025-06-16,Central,Whole Grain Jam,8,308.77,2470.16
2025-02-27,Central,Premium Cereal Bar,8,415.53,3324.24
2025-08-08,North,Fresh Wheat Flour,4,250.26,1001.04
2025-01-21,West,Flavored Water,8,402.28,3218.24
2025-09-21,East,Whole Grain Tea,9,196.78,1771.02
2025-07-27,West,Imported Energy Drink,6,94.12,564.72
2025-01-22,North,Imported Crisps,4,468.5,1874.0
2025-08-02,Central,Organic Cereal Bar,4,186.26,745.04
2025-09-17,West,Classic Granola Bar,6,268.27,1609.62
2024-11-15,West,Light Corn,6,227.2,1363.2
2025-04-02,West,Organic Crackers,8,412.54,3300.32
2025-01-29,North,Extra Virgin Beef Jerky,9,197.56,1778.04
2025-04-29,West,Flavored Juice,1,304.99,304.99
2025-10-09,South,Imported Apples,9,258.8,2329.2
2025-07-31,South,Classic Candy,7,401.72,2812.04
2025-10-10,Central,Flavored Crackers,3,122.86,368.58
2025-04-15,North,Healthy Eggs,6,215.74,1294.44
2025-01-22,East,Healthy Tofu,8,468.51,3748.08
2025-05-27,West,Flavored Cumin,5,320.01,1600.05
2025-06-30,Central,Healthy Cashews,10,388.53,3885.3
2025-07-22,East,Extra Virgin Wheat Flour,9,213.95,1925.55
2025-04-27,Central,Natural Rice,7,110.33,772.31
2024-11-06,West,Fresh Pasta,4,352.55,1410.2
2025-03-30,West,Light Yogurt,5,59.67,298.35
2025-08-27,East,Whole Grain Butter,1,243.72,243.72
2024-11-06,South,Organic Chocolate,6,259.37,1556.22
2025-06-28,North,Healthy Frozen Pizza,9,338.43,3045.87
2025-08-14,West,Organic Paprika,10,138.28,1382.8
2025-07-18,South,Fresh Wheat Flour,1,99.63,99.63
2025-04-27,Central,Local Almonds,9,435.06,3915.54
2025-09-02,East,Healthy Honey,5,346.11,1730.55
2024-11-20,West,Fresh Cheese,6,392.23,2353.38
2025-07-26,East,Organic Chips,4,491.47,1965.88
2024-11-01,West,Organic Bananas,9,186.68,1680.12
2025-10-09,North,Healthy Pasta,9,447.38,4026.42
2025-06-27,South,Roasted Soda,10,367.48,3674.8
2025-08-05,South,Healthy Granola Bar,9,399.66,3596.94
2025-01-07,West,Fresh Vanilla Extract,4,304.55,1218.2
2025-04-03,East,Whole Grain Rice,7,160.45,1123.15
2024-10-17,South,Whole Grain Cereal Bar,6,215.47,1292.82
2025-07-20,North,Flavored Cheese,8,282.41,2259.28
2025-08-03,South,Roasted Coffee,4,62.16,248.64
2025-02-12,East,Flavored Frozen Pizza,6,264.28,1585.68
2025-02-18,South,Local Chocolate,5,382.5,1912.5
2024-12-16,North,Fresh Granola,2,283.8,567.6
2024-12-17,Central,Organic Chips,4,100.53,402.12
2025-04-27,North,Imported Ice Cream,9,165.5,1489.5
2024-10-22,West,Whole Grain Candy,9,148.95,1340.55
2024-12-23,South,Premium Almonds,1,196.66,196.66
2024-11-15,North,Flavored Bread,6,177.23,1063.38
2024-10-15,East,Healthy Candy,7,420.63,2944.41
2025-02-27,East,Low-Fat Lentils,9,132.2,1189.8
2024-12-09,Central,Imported Coffee,4,327.56,1310.24
2025-09-16,South,Imported Vanilla Extract,7,340.44,2383.08
2025-08-05,Central,Imported Cumin,4,145.29,581.16
2025-06-15,North,Gluten-Free Bananas,7,201.46,1410.22
2025-01-31,South,Light Pasta,6,220.16,1320.96
2025-06-17,South,Whole Grain Coconut Water,8,219.15,1753.2
2025-01-19,East,Gluten-Free Rice,3,130.1,390.3
2025-06-05,East,Imported Rice,3,192.74,578.22
2024-11-20,Central,Gluten-Free Honey,1,182.62,182.62
2025-10-14,South,Organic Cumin,3,154.02,462.06
2025-08-01,Central,Flavored Granola,2,145.84,291.68
2025-08-29,North,Whole Grain Corn,7,56.38,394.66
2025-07-16,Central,Whole Grain Rice Cakes,9,76.86,691.74
2025-02-28,South,Organic Granola Bar,6,153.91,923.46
2025-06-24,East,Roasted Noodles,10,215.03,2150.3
2025-10-09,West,Low-Fat Paprika,2,391.23,782.46
2025-09-24,West,Roasted Bread,1,105.53,105.53
2025-07-05,Central,Whole Grain Vanilla Extract,5,361.95,1809.75
2025-02-26,East,Healthy Granola,9,429.56,3866.04
2025-06-28,West,Low-Fat Syrup,9,206.08,1854.72
2025-03-20,North,Imported Rice Cakes,5,85.36,426.8
2025-05-11,North,Fresh Tea,4,178.71,714.84
2024-12-09,West,Organic Popcorn,4,167.01,668.04
2025-06-10,West,Gluten-Free Yogurt,8,314.21,2513.68
2025-02-25,West,Roasted Cashews,10,408.63,4086.3
2025-02-19,East,Organic Granola Bar,2,67.79,135.58
2025-09-12,North,Roasted Cheese,7,307.36,2151.52
2025-07-07,Central,Imported Syrup,10,121.2,1212.0
2025-08-21,Central,Classic Granola Bar,3,489.4,1468.2
2025-05-09,North,Imported Pasta,8,143.01,1144.08
2024-12-07,East,Fresh Canned Tuna,4,343.64,1374.56
2024-11-21,Central,Premium Almonds,8,435.4,3483.2
2025-09-14,East,Classic Candy,2,252.48,504.96
2025-07-07,East,Fresh Cashews,7,361.43,2530.01
2025-06-17,North,Gluten-Free Water,4,454.27,1817.08
2025-02-08,East,Premium Paprika,1,247.2,247.2
2024-12-15,West,Local Jam,2,107.54,215.08
2025-05-22,South,Light Cinnamon,6,174.08,1044.48
2025-07-05,South,Fresh Turmeric,6,467.99,2807.94
2025-06-07,East,Low-Fat Jam,5,127.45,637.25
2025-06-20,West,Local Cheese,9,370.44,3333.96
2025-04-06,East,Local Bread,3,285.21,855.63
2025-06-08,West,Low-Fat Candy,4,330.22,1320.88
2025-01-31,North,Gluten-Free Jam,7,253.3,1773.1
2025-07-06,East,Premium Cashews,2,187.58,375.16
2025-05-23,East,Low-Fat Cumin,9,131.89,1187.01
2024-12-05,West,Flavored Bananas,6,202.07,1212.42
2024-10-26,East,Premium Wheat Flour,7,296.68,2076.76
2025-07-15,West,Light Cereal Bar,6,478.78,2872.68
2025-06-19,East,Organic Eggs,10,374.97,3749.7
2024-11-12,North,Organic Jam,5,342.11,1710.55
2025-03-29,North,Premium Cereal,9,211.57,1904.13
2025-06-16,East,Premium Juice,10,377.61,3776.1
2025-09-06,West,Imported Milk,8,191.29,1530.32
2024-10-08,West,Low-Fat Eggs,6,295.21,1771.26
2025-01-20,North,Organic Dates,2,393.97,787.94
2025-09-24,East,Roasted Bananas,7,399.47,2796.29
2025-07-08,East,Natural Turmeric,6,341.44,2048.64
2025-07-20,South,Healthy Raisins,4,111.63,446.52
2024-12-30,East,Light Bananas,8,493.28,3946.24
2025-01-16,West,Local Tea,1,409.94,409.94
2025-06-06,East,Fresh Energy Drink,9,357.08,3213.72
2025-09-25,Central,Classic Cereal,8,288.84,2310.72
2025-04-25,South,Roasted Crisps,8,228.79,1830.32
2024-12-21,Central,Imported Dates,10,257.27,2572.7
2025-09-02,West,Premium Cereal,3,213.7,641.1
2025-04-23,South,Extra Virgin Crisps,1,304.53,304.53
2024-12-11,South,Fresh Energy Drink,7,295.14,2065.98
2025-10-13,East,Local Cooking Oil,4,426.18,1704.72
2025-08-11,West,Premium Juice,10,438.19,4381.9
2025-09-24,North,Whole Grain Jam,5,338.2,1691.0
2025-04-12,West,Extra Virgin Paprika,5,251.96,1259.8
2025-07-17,East,Organic Raisins,3,362.7,1088.1
2025-01-19,West,Light Apples,1,227.42,227.42
2024-10-29,East,Gluten-Free Cinnamon,1,65.88,65.88
2025-05-07,Central,Classic Syrup,4,246.67,986.68
2025-04-08,West,Flavored Turmeric,7,434.68,3042.76
2025-10-06,East,Low-Fat Rice Cakes,4,215.47,861.88
2024-12-26,South,Low-Fat Crisps,10,205.46,2054.6
2025-02-16,East,Local Butter,6,119.13,714.78
2025-02-19,North,Gluten-Free Dates,1,164.34,164.34
2025-09-25,Central,Premium Cheese,10,272.34,2723.4
2025-10-06,Central,Gluten-Free Lentils,5,341.4,1707.0
2025-07-02,Central,Fresh Eggs,2,189.96,379.92
2025-01-27,North,Gluten-Free Water,2,70.42,140.84
2025-04-12,Central,Fresh Cumin,3,479.29,1437.87
2025-03-26,Central,Local Dates,4,355.97,1423.88
2025-07-10,West,Healthy Juice,9,75.03,675.27
2024-12-09,East,Organic Canned Beans,8,164.04,1312.32
2025-03-01,East,Gluten-Free Dried Mango,6,430.38,2582.28
2025-02-02,North,Low-Fat Beef Jerky,3,239.46,718.38
2024-12-31,North,Local Yogurt,1,476.74,476.74
2025-05-12,West,Roasted Chocolate,10,485.6,4856.0
2024-11-14,South,Gluten-Free Chips,8,215.03,1720.24
2025-10-09,East,Low-Fat Jam,3,303.39,910.17
2024-12-31,East,Low-Fat Frozen Pizza,4,328.62,1314.48
2024-12-16,East,Local Chips,1,230.03,230.03
2025-05-11,East,Local Eggs,9,265.86,2392.74
2025-07-05,North,Natural Cereal Bar,5,168.8,844.0
2025-08-28,South,Healthy Frozen Pizza,5,108.25,541.25
2025-07-12,West,Imported Cereal Bar,5,392.6,1963.0
2025-07-22,West,Organic Corn,8,429.98,3439.84
2025-08-12,Central,Extra Virgin Wheat Flour,10,335.83,3358.3
2025-09-01,North,Imported Candy,9,154.07,1386.63
2025-01-25,West,Premium Coconut Water,2,415.7,831.4
2025-03-26,North,Low-Fat Water,6,65.52,393.12
2025-07-25,South,Flavored Milk,9,140.8,1267.2
2025-09-27,Central,Light Corn,5,343.52,1717.6
2025-03-16,Central,Fresh Coffee,10,426.02,4260.2
2025-08-08,East,Extra Virgin Granola,2,245.29,490.58
2025-08-31,West,Roasted Wheat Flour,2,277.63,555.26
2024-12-15,East,Organic Rice,3,380.92,1142.76
2024-12-17,East,Organic Raisins,7,308.26,2157.82
2025-01-10,Central,Low-Fat Rice Cakes,2,352.49,704.98
2024-12-10,East,Imported Pepper,6,259.08,1554.48
2025-04-30,West,Natural Syrup,7,417.61,2923.27
2025-03-22,East,Healthy Cinnamon,9,448.99,4040.91
2025-09-03,Central,Extra Virgin Chips,9,98.2,883.8
2025-05-30,North,Flavored Rice Cakes,4,323.61,1294.44
2025-04-30,South,Fresh Apples,6,492.37,2954.22
2025-09-17,East,Extra Virgin Soda,4,299.76,1199.04
2025-02-24,Central,Flavored Coconut Water,10,171.21,1712.1
2025-04-17,North,Premium Noodles,3,338.65,1015.95
2025-04-08,Central,Imported Corn,2,52.8,105.6
2025-07-20,Central,Light Tofu,7,295.53,2068.71
2024-11-06,West,Healthy Cooking Oil,1,355.9,355.9
2025-03-26,East,Gluten-Free Honey,1,406.69,406.69
2024-12-11,North,Classic Chocolate,9,147.42,1326.78
2025-05-27,West,Healthy Cashews,8,360.48,2883.84
2025-09-13,East,Local Raisins,3,128.13,384.39
2024-10-16,South,Healthy Raisins,9,258.47,2326.23
2025-07-01,North,Local Granola,8,200.48,1603.84
2024-12-30,Central,Premium Rice,6,175.71,1054.26
2025-03-13,South,Organic Honey,8,430.3,3442.4
2024-10-28,North,Light Jam,6,339.97,2039.82
2025-02-11,West,Low-Fat Dates,8,164.29,1314.32
2024-10-12,South,Organic Rice Cakes,3,303.0,909.0
2025-08-21,Central,Organic Noodles,1,88.85,88.85
2024-12-28,North,Roasted Milk,2,392.55,785.1
2025-04-08,Central,Healthy Dried Mango,1,169.28,169.28
2025-07-19,South,Local Butter,8,68.06,544.48
2024-11-11,East,Flavored Cooking Oil,3,234.23,702.69
2024-11-02,South,Extra Virgin Soda,2,344.19,688.38
2025-05-20,Central,Classic Granola,7,343.06,2401.42
2025-07-01,East,Organic Tofu,1,142.31,142.31
2025-08-10,North,Fresh Noodles,8,404.16,3233.28
2025-03-19,North,Extra Virgin Rice Cakes,9,434.39,3909.51
2024-10-23,West,Healthy Soda,1,293.16,293.16
2025-07-02,Central,Healthy Candy,8,300.25,2402.0
2025-02-17,North,Local Pasta,6,168.01,1008.06
2025-03-03,South,Roasted Crackers,5,347.64,1738.2
2024-10-29,North,Classic Lentils,8,319.23,2553.84
2025-04-20,North,Low-Fat Soda,5,80.37,401.85
2025-01-05,East,Imported Cereal Bar,4,159.24,636.96
2025-03-09,Central,Low-Fat Wheat Flour,1,379.07,379.07
2025-03-07,Central,Flavored Cinnamon,1,413.07,413.07
2024-12-18,North,Low-Fat Candy,4,199.78,799.12
2025-08-06,East,Imported Canned Tuna,8,355.49,2843.92
2024-12-15,West,Natural Cumin,2,130.51,261.02
2025-01-01,West,Flavored Chips,6,449.94,2699.64
2025-08-28,South,Flavored Tofu,4,226.96,907.84
2024-10-20,East,Whole Grain Frozen Pizza,9,419.25,3773.25
2024-12-01,East,Whole Grain Juice,10,50.06,500.6
2024-10-30,West,Flavored Corn,1,443.93,443.93
2025-07-15,South,Gluten-Free Frozen Pizza,9,278.22,2503.98
2024-10-26,West,Organic Syrup,6,425.52,2553.12
2025-07-13,West,Flavored Popcorn,3,112.47,337.41
2025-06-26,East,Extra Virgin Oats,10,182.83,1828.3
2025-06-03,South,Fresh Crackers,1,341.53,341.53
2025-10-01,Central,Premium Granola,8,479.58,3836.64
2024-11-02,North,Gluten-Free Canned Beans,9,387.86,3490.74
2025-02-24,Central,Classic Juice,3,221.06,663.18
2025-07-30,West,Flavored Beef Jerky,3,303.74,911.22
2025-10-07,North,Premium Vanilla Extract,3,412.0,1236.0
2025-06-07,South,Extra Virgin Granola Bar,3,195.52,586.56
2025-07-20,West,Classic Bananas,6,385.74,2314.44
2024-10-10,Central,Imported Cashews,1,60.87,60.87
